iter	Logloss
0	0.6885362036
1	0.6841134055
2	0.6798792288
3	0.6756007883
4	0.6710318215
5	0.6655064672
6	0.6604724486
7	0.6565921446
8	0.6517643647
9	0.6475876562
10	0.6433358167
11	0.6380994059
12	0.6341316991
13	0.6291919781
14	0.6265395307
15	0.6224681202
16	0.6189671613
17	0.6148287123
18	0.6107836458
19	0.6073667991
20	0.6032918317
21	0.5992739495
22	0.5952116228
23	0.592047321
24	0.5881068414
25	0.5848894022
26	0.5826353016
27	0.5789088569
28	0.5767120467
29	0.5724421779
30	0.5691145467
31	0.5648511134
32	0.5618241086
33	0.5578466102
34	0.5539759043
35	0.5504599296
36	0.547331471
37	0.5435077293
38	0.5392407706
39	0.5355505206
40	0.5329019741
41	0.5305196809
42	0.5273424987
43	0.5238998559
44	0.5220700542
45	0.5197886364
46	0.5158993545
47	0.5123513277
48	0.5092223824
49	0.5057691572
50	0.5029242286
51	0.4993230276
52	0.4966107114
53	0.4944050623
54	0.4911411536
55	0.4877552459
56	0.4855794161
57	0.4825384092
58	0.4788075136
59	0.4762512026
60	0.4742633808
61	0.4730150368
62	0.4700781423
63	0.4677167814
64	0.4647590987
65	0.4623249868
66	0.4608836092
67	0.4580018211
68	0.4550028481
69	0.4525861237
70	0.4511301212
71	0.4493341813
72	0.446424855
73	0.4437930639
74	0.4409134789
75	0.4396562532
76	0.4377324857
77	0.4354716334
78	0.4329796297
79	0.4308020958
80	0.4276622327
81	0.4262235079
82	0.4238655499
83	0.4214495421
84	0.4193438715
85	0.4166502293
86	0.4143152009
87	0.4125826247
88	0.4104489167
89	0.409516291
90	0.4073181389
91	0.4053122304
92	0.4033574768
93	0.4012602758
94	0.3990657375
95	0.3966979007
96	0.395162122
97	0.3931992472
98	0.3921691569
99	0.3906707891
100	0.3889359387
101	0.3867778289
102	0.3852684989
103	0.3842577472
104	0.382651354
105	0.3803178101
106	0.3792393135
107	0.3772706831
108	0.3761841071
109	0.3746771389
110	0.373570899
111	0.3714918758
112	0.3700890283
113	0.3680912945
114	0.367366395
115	0.3653320004
116	0.3644080601
117	0.3621697204
118	0.3601423147
119	0.3586408257
120	0.3571464407
121	0.3555277511
122	0.3535977126
123	0.3520219629
124	0.3506257513
125	0.3490420341
126	0.3473759487
127	0.3462298802
128	0.3451351467
129	0.343908385
130	0.3424759202
131	0.341083479
132	0.3400763981
133	0.3388928893
134	0.3375173414
135	0.3356618524
136	0.334330906
137	0.333660237
138	0.3320591621
139	0.3303619699
140	0.3287467261
141	0.3272979269
142	0.3259409462
143	0.3243192569
144	0.3238927101
145	0.3231407395
146	0.3223683995
147	0.3204011152
148	0.3192528496
149	0.3178240969
150	0.3169017624
151	0.3156597097
152	0.3146760636
153	0.3134266359
154	0.3120956111
155	0.3112383119
156	0.3100287496
157	0.3087295835
158	0.3079312001
159	0.3060098455
160	0.3051066168
161	0.3038863836
162	0.3026868331
163	0.3017629115
164	0.301194733
165	0.3001284125
166	0.2983101904
167	0.2967610863
168	0.2961034867
169	0.2951111888
170	0.293630792
171	0.2924542835
172	0.2912000273
173	0.2902566213
174	0.2889710139
175	0.2884236699
176	0.2881120442
177	0.2871973479
178	0.2863282443
179	0.2857567044
180	0.2841818108
181	0.2833202514
182	0.2820343324
183	0.2812218917
184	0.280277414
185	0.2797324077
186	0.2783942502
187	0.2772068404
188	0.2757062503
189	0.2750512467
190	0.2741265656
